Calendar year,Ethnicity,Main offence,Sentence,Value,Flags
"2006","European","Dangerous or negligent operation (driving) of a vehicle","Imprisonment",37,
"2007","European","Dangerous or negligent operation (driving) of a vehicle","Imprisonment",40,
"2009","European","Dangerous or negligent operation (driving) of a vehicle","Imprisonment",46,
"2011","European","Dangerous or negligent operation (driving) of a vehicle","Imprisonment",32,
"2012","European","Dangerous or negligent operation (driving) of a vehicle","Imprisonment",21,
"2014","European","Dangerous or negligent operation (driving) of a vehicle","Imprisonment",23,
"2004","European","Dangerous or negligent operation (driving) of a vehicle","Total sentences",3040,
"2006","European","Dangerous or negligent operation (driving) of a vehicle","Total sentences",3833,
"2007","European","Dangerous or negligent operation (driving) of a vehicle","Total sentences",4249,
"2009","European","Dangerous or negligent operation (driving) of a vehicle","Total sentences",4099,
"2012","European","Dangerous or negligent operation (driving) of a vehicle","Total sentences",2858,
"2014","European","Dangerous or negligent operation (driving) of a vehicle","Total sentences",2030,
"2015","European","Dangerous or negligent operation (driving) of a vehicle","Total sentences",1933,
"2003","European","Harassment and private nuisance","Imprisonment",3,
"2005","European","Harassment and private nuisance","Imprisonment",2,
"2006","European","Harassment and private nuisance","Imprisonment",1,
"2008","European","Harassment and private nuisance","Imprisonment",4,
"2010","European","Harassment and private nuisance","Imprisonment",1,
"2011","European","Harassment and private nuisance","Imprisonment",3,
"2013","European","Harassment and private nuisance","Imprisonment",2,
"2016","European","Harassment and private nuisance","Imprisonment",3,
"2003","European","Harassment and private nuisance","Total sentences",51,
"2005","European","Harassment and private nuisance","Total sentences",44,
"2006","European","Harassment and private nuisance","Total sentences",52,
"2008","European","Harassment and private nuisance","Total sentences",37,
"2011","European","Harassment and private nuisance","Total sentences",27,
"2013","European","Harassment and private nuisance","Total sentences",30,
"2014","European","Harassment and private nuisance","Total sentences",42,
"2016","European","Harassment and private nuisance","Total sentences",48,
"2002","European","Threatening behaviour","Imprisonment",41,
"2004","European","Threatening behaviour","Imprisonment",37,
"2005","European","Threatening behaviour","Imprisonment",32,
"2007","European","Threatening behaviour","Imprisonment",44,
"2009","European","Threatening behaviour","Imprisonment",56,
"2010","European","Threatening behaviour","Imprisonment",49,
"2012","European","Threatening behaviour","Imprisonment",66,
"2015","European","Threatening behaviour","Imprisonment",72,
"2002","European","Threatening behaviour","Total sentences",263,
"2004","European","Threatening behaviour","Total sentences",278,
"2005","European","Threatening behaviour","Total sentences",296,
"2007","European","Threatening behaviour","Total sentences",350,
"2010","European","Threatening behaviour","Total sentences",468,
"2012","European","Threatening behaviour","Total sentences",426,
"2013","European","Threatening behaviour","Total sentences",355,
"2015","European","Threatening behaviour","Total sentences",438,
"2003","European","Aggravated robbery","Imprisonment",80,
"2004","European","Aggravated robbery","Imprisonment",77,
"2006","European","Aggravated robbery","Imprisonment",85,
"2008","European","Aggravated robbery","Imprisonment",61,
"2009","European","Aggravated robbery","Imprisonment",63,
"2011","European","Aggravated robbery","Imprisonment",38,
"2014","European","Aggravated robbery","Imprisonment",47,
"2016","European","Aggravated robbery","Imprisonment",54,
"2003","European","Aggravated robbery","Total sentences",90,
"2004","European","Aggravated robbery","Total sentences",87,
"2006","European","Aggravated robbery","Total sentences",98,
"2009","European","Aggravated robbery","Total sentences",105,
"2011","European","Aggravated robbery","Total sentences",60,
"2012","European","Aggravated robbery","Total sentences",91,
"2014","European","Aggravated robbery","Total sentences",80,
"2002","European","Non-aggravated robbery","Imprisonment",6,
"2003","European","Non-aggravated robbery","Imprisonment",4,
"2005","European","Non-aggravated robbery","Imprisonment",7,
"2007","European","Non-aggravated robbery","Imprisonment",9,
"2008","European","Non-aggravated robbery","Imprisonment",7,
"2010","European","Non-aggravated robbery","Imprisonment",6,
"2013","European","Non-aggravated robbery","Imprisonment",5,
"2015","European","Non-aggravated robbery","Imprisonment",4,
"2016","European","Non-aggravated robbery","Imprisonment",8,
"2002","European","Non-aggravated robbery","Total sentences",8,
"2003","European","Non-aggravated robbery","Total sentences",7,
"2005","European","Non-aggravated robbery","Total sentences",8,
"2008","European","Non-aggravated robbery","Total sentences",13,
"2010","European","Non-aggravated robbery","Total sentences",13,
"2011","European","Non-aggravated robbery","Total sentences",8,
"2013","European","Non-aggravated robbery","Total sentences",6,
"2016","European","Non-aggravated robbery","Total sentences",15,
"2004","Maori","Total Offences","Imprisonment",4329,
"2006","Maori","Total Offences","Imprisonment",4536,
"2007","Maori","Total Offences","Imprisonment",4485,
"2009","Maori","Total Offences","Imprisonment",4814,
"2012","Maori","Total Offences","Imprisonment",4321,
"2014","Maori","Total Offences","Imprisonment",4094,
"2015","Maori","Total Offences","Imprisonment",4175,
"2003","Maori","Prohibited And Regulated Weapons And Explosives Offences","Imprisonment",62,
"2004","Maori","Prohibited And Regulated Weapons And Explosives Offences","Imprisonment",51,
"2006","Maori","Prohibited And Regulated Weapons And Explosives Offences","Imprisonment",69,
"2009","Maori","Prohibited And Regulated Weapons And Explosives Offences","Imprisonment",73,
"2011","Maori","Prohibited And Regulated Weapons And Explosives Offences","Imprisonment",69,
"2012","Maori","Prohibited And Regulated Weapons And Explosives Offences","Imprisonment",60,
"2014","Maori","Prohibited And Regulated Weapons And Explosives Offences","Imprisonment",80,
"2002","Maori","Public Order Offences","Imprisonment",30,
"2004","Maori","Public Order Offences","Imprisonment",53,
"2007","Maori","Public Order Offences","Imprisonment",55,
"2009","Maori","Public Order Offences","Imprisonment",50,
"2010","Maori","Public Order Offences","Imprisonment",34,
"2012","Maori","Public Order Offences","Imprisonment",47,
"2015","Maori","Public Order Offences","Imprisonment",49,
"2004","Maori","Miscellaneous Offences","Imprisonment",1,
"2006","Maori","Miscellaneous Offences","Imprisonment",1,
"1981","Maori","Murder","Imprisonment",8,
"1982","Maori","Murder","Imprisonment",1,
"1984","Maori","Murder","Imprisonment",5,
"1987","Maori","Murder","Imprisonment",21,
"1989","Maori","Murder","Imprisonment",11,
"1990","Maori","Murder","Imprisonment",14,
"1992","Maori","Murder","Imprisonment",12,
"1995","Maori","Murder","Imprisonment",8,
"1997","Maori","Murder","Imprisonment",15,
"1998","Maori","Murder","Imprisonment",12,
"2000","Maori","Murder","Imprisonment",13,
"2003","Maori","Murder","Imprisonment",5,
"2005","Maori","Murder","Imprisonment",8,
"2006","Maori","Murder","Imprisonment",8,
"2008","Maori","Murder","Imprisonment",8,
"2002","Maori","Attempted murder","Imprisonment",1,
"2004","Maori","Attempted murder","Imprisonment",6,
"2005","Maori","Attempted murder","Imprisonment",1,
"2007","Maori","Attempted murder","Imprisonment",2,
"2010","Maori","Attempted murder","Imprisonment",4,
"2002","Maori","Assault","Imprisonment",594,
"2004","Maori","Assault","Imprisonment",700,
"2007","Maori","Assault","Imprisonment",864,
"2009","Maori","Assault","Imprisonment",950,
"2001","Maori","Other acts intended to cause injury","Imprisonment",1,
"2003","Maori","Other acts intended to cause injury","Imprisonment",6,
"2006","Maori","Other acts intended to cause injury","Imprisonment",2,
"2008","Maori","Other acts intended to cause injury","Imprisonment",2,
"2006","Maori","Non-assaultive sexual offences","Imprisonment",1,
"2002","Maori","Other dangerous or negligent acts endangering persons","Imprisonment",2,
"2004","Maori","Other dangerous or negligent acts endangering persons","Imprisonment",5,
"2007","Maori","Other dangerous or negligent acts endangering persons","Imprisonment",6,
"2009","Maori","Other dangerous or negligent acts endangering persons","Imprisonment",6,
"2010","Maori","Other dangerous or negligent acts endangering persons","Imprisonment",8,
"2003","Maori","Abduction and kidnapping","Imprisonment",22,
"2006","Maori","Abduction and kidnapping","Imprisonment",30,
"2008","Maori","Abduction and kidnapping","Imprisonment",23,
"2009","Maori","Abduction and kidnapping","Imprisonment",22,
"2011","Maori","Abduction and kidnapping","Imprisonment",17,
"1983","Maori","Blackmail and extortion","Imprisonment",1,
"1984","Maori","Blackmail and extortion","Imprisonment",3,
"1989","Maori","Blackmail and extortion","Imprisonment",2,
"1992","Maori","Blackmail and extortion","Imprisonment",1,
"1994","Maori","Blackmail and extortion","Imprisonment",3,
"1997","Maori","Blackmail and extortion","Imprisonment",2,
"1999","Maori","Blackmail and extortion","Imprisonment",2,
"2002","Maori","Blackmail and extortion","Imprisonment",9,
"2004","Maori","Blackmail and extortion","Imprisonment",6,
"2005","Maori","Blackmail and extortion","Imprisonment",5,
"2007","Maori","Blackmail and extortion","Imprisonment",8,
"2010","Maori","Blackmail and extortion","Imprisonment",4,
"2003","Maori","Unlawful entry with intent/burglary, break and enter","Imprisonment",706,
"2004","Maori","Unlawful entry with intent/burglary, break and enter","Imprisonment",779,
"2006","Maori","Unlawful entry with intent/burglary, break and enter","Imprisonment",792,
"2009","Maori","Unlawful entry with intent/burglary, break and enter","Imprisonment",746,
"2011","Maori","Unlawful entry with intent/burglary, break and enter","Imprisonment",691,
"2002","Maori","Motor vehicle theft and related offences","Imprisonment",149,
"2003","Maori","Motor vehicle theft and related offences","Imprisonment",174,
"2005","Maori","Motor vehicle theft and related offences","Imprisonment",206,
"2008","Maori","Motor vehicle theft and related offences","Imprisonment",170,
"2010","Maori","Motor vehicle theft and related offences","Imprisonment",132,
"2011","Maori","Motor vehicle theft and related offences","Imprisonment",173,
"2002","Maori","Theft (except motor vehicles)","Imprisonment",119,
"2004","Maori","Theft (except motor vehicles)","Imprisonment",122,
"2007","Maori","Theft (except motor vehicles)","Imprisonment",153,
"2009","Maori","Theft (except motor vehicles)","Imprisonment",107,
"2010","Maori","Theft (except motor vehicles)","Imprisonment",124,
"1980","Maori","Receive or handle proceeds of crime","Imprisonment",29,
"1982","Maori","Receive or handle proceeds of crime","Imprisonment",28,
"1985","Maori","Receive or handle proceeds of crime","Imprisonment",37,
"1987","Maori","Receive or handle proceeds of crime","Imprisonment",34,
"1988","Maori","Receive or handle proceeds of crime","Imprisonment",36,
"1990","Maori","Receive or handle proceeds of crime","Imprisonment",41,
"1993","Maori","Receive or handle proceeds of crime","Imprisonment",50,
"1995","Maori","Receive or handle proceeds of crime","Imprisonment",45,
"1998","Maori","Receive or handle proceeds of crime","Imprisonment",66,
"2000","Maori","Receive or handle proceeds of crime","Imprisonment",68,
"2001","Maori","Receive or handle proceeds of crime","Imprisonment",70,
"2003","Maori","Receive or handle proceeds of crime","Imprisonment",76,
"2006","Maori","Receive or handle proceeds of crime","Imprisonment",92,
"2008","Maori","Receive or handle proceeds of crime","Imprisonment",97,
"2009","Maori","Receive or handle proceeds of crime","Imprisonment",84,
"2011","Maori","Receive or handle proceeds of crime","Imprisonment",99,
"2008","Maori","Illegal use of property (except motor vehicles)","Imprisonment",1,
"2010","Maori","Illegal use of property (except motor vehicles)","Imprisonment",1,
"1980","Maori","Import or export illicit drugs","Imprisonment",1,
"1983","Maori","Import or export illicit drugs","Imprisonment",1,
"1988","Maori","Import or export illicit drugs","Imprisonment",1,
"1993","Maori","Import or export illicit drugs","Imprisonment",1,
"1994","Maori","Import or export illicit drugs","Imprisonment",1,
"1996","Maori","Import or export illicit drugs","Imprisonment",2,
"2016","European","Other acts intended to cause injury","Total sentences",4,
"2015","European","Other dangerous or negligent acts endangering persons","Total sentences",20,
"2016","European","Abduction and kidnapping","Total sentences",19,
"2015","European","Blackmail and extortion","Total sentences",11,
"2016","European","Motor vehicle theft and related offences","Total sentences",299,
"2015","European","Theft (except motor vehicles)","Total sentences",1080,
"2016","European","Receive or handle proceeds of crime","Total sentences",289,
"2016","European","Illegal use of property (except motor vehicles)","Total sentences",5,
"2016","European","Obtain benefit by deception","Total sentences",482,
"2002","European","Forgery and counterfeiting","Total sentences",31,
"2004","European","Forgery and counterfeiting","Total sentences",30,
"2005","European","Forgery and counterfeiting","Total sentences",28,
"2007","European","Forgery and counterfeiting","Total sentences",20,
"2010","European","Forgery and counterfeiting","Total sentences",39,
"2012","European","Forgery and counterfeiting","Total sentences",23,
"2013","European","Forgery and counterfeiting","Total sentences",28,
"2015","European","Forgery and counterfeiting","Total sentences",29,
"2008","European","Deceptive business/government practices","Imprisonment",1,
"2014","European","Deceptive business/government practices","Imprisonment",1,
"2016","European","Deceptive business/government practices","Imprisonment",1,
"2003","European","Deceptive business/government practices","Total sentences",5,
"2004","European","Deceptive business/government practices","Total sentences",6,
"2006","European","Deceptive business/government practices","Total sentences",4,
"2009","European","Deceptive business/government practices","Total sentences",2,
"2011","European","Deceptive business/government practices","Total sentences",2,
"2012","European","Deceptive business/government practices","Total sentences",3,
"2014","European","Deceptive business/government practices","Total sentences",2,
"2002","European","Other fraud and deception offences","Imprisonment",30,
"2005","European","Other fraud and deception offences","Imprisonment",13,
"2007","European","Other fraud and deception offences","Imprisonment",11,
"2008","European","Other fraud and deception offences","Imprisonment",14,
"2010","European","Other fraud and deception offences","Imprisonment",12,
"2013","European","Other fraud and deception offences","Imprisonment",5,
"2015","European","Other fraud and deception offences","Imprisonment",6,
"2016","European","Other fraud and deception offences","Imprisonment",10,
"2002","European","Other fraud and deception offences","Total sentences",294,
"2003","European","Other fraud and deception offences","Total sentences",306,
"2005","European","Other fraud and deception offences","Total sentences",99,
"2008","European","Other fraud and deception offences","Total sentences",89,
"2010","European","Other fraud and deception offences","Total sentences",91,
"2011","European","Other fraud and deception offences","Total sentences",73,
"2013","European","Other fraud and deception offences","Total sentences",80,
"2016","European","Other fraud and deception offences","Total sentences",57,
"2001","European","Import or export illicit drugs","Imprisonment",10,
"2004","European","Import or export illicit drugs","Imprisonment",17,
"2006","European","Import or export illicit drugs","Imprisonment",15,
"2007","European","Import or export illicit drugs","Imprisonment",15,
"2009","European","Import or export illicit drugs","Imprisonment",5,
"2012","European","Import or export illicit drugs","Imprisonment",6,
"2014","European","Import or export illicit drugs","Imprisonment",9,
"2015","European","Import or export illicit drugs","Imprisonment",13,
"1986","European","Import or export illicit drugs","Total sentences",39,
"1988","European","Import or export illicit drugs","Total sentences",27,
"2001","European","Import or export illicit drugs","Total sentences",46,
"2002","European","Import or export illicit drugs","Total sentences",47,
"2004","European","Import or export illicit drugs","Total sentences",27,
"2007","European","Import or export illicit drugs","Total sentences",21,
"2009","European","Import or export illicit drugs","Total sentences",10,
"2010","European","Import or export illicit drugs","Total sentences",22,
"2012","European","Import or export illicit drugs","Total sentences",18,
"2015","European","Import or export illicit drugs","Total sentences",21,
"2003","European","Deal or traffic in illicit drugs","Imprisonment",233,
"2005","European","Deal or traffic in illicit drugs","Imprisonment",180,
"2006","European","Deal or traffic in illicit drugs","Imprisonment",184,
"2008","European","Deal or traffic in illicit drugs","Imprisonment",124,
"2011","European","Deal or traffic in illicit drugs","Imprisonment",135,
"2013","European","Deal or traffic in illicit drugs","Imprisonment",155,
"2014","European","Deal or traffic in illicit drugs","Imprisonment",143,
"2016","European","Deal or traffic in illicit drugs","Imprisonment",151,
"2003","European","Deal or traffic in illicit drugs","Total sentences",352,
"2006","European","Deal or traffic in illicit drugs","Total sentences",293,
"2008","European","Deal or traffic in illicit drugs","Total sentences",353,
"2009","European","Deal or traffic in illicit drugs","Total sentences",405,
"2011","European","Deal or traffic in illicit drugs","Total sentences",496,
"2014","European","Deal or traffic in illicit drugs","Total sentences",415,
"2016","European","Deal or traffic in illicit drugs","Total sentences",442,
"2002","European","Manufacture or cultivate illicit drugs","Imprisonment",103,
"2004","European","Manufacture or cultivate illicit drugs","Imprisonment",187,
"2005","European","Manufacture or cultivate illicit drugs","Imprisonment",173,
"2007","European","Manufacture or cultivate illicit drugs","Imprisonment",125,
"2010","European","Manufacture or cultivate illicit drugs","Imprisonment",106,
"2012","European","Manufacture or cultivate illicit drugs","Imprisonment",89,
"2013","European","Manufacture or cultivate illicit drugs","Imprisonment",74,
"2015","European","Manufacture or cultivate illicit drugs","Imprisonment",51,
"2002","European","Manufacture or cultivate illicit drugs","Total sentences",737,
"2005","European","Manufacture or cultivate illicit drugs","Total sentences",735,
"2007","European","Manufacture or cultivate illicit drugs","Total sentences",637,
"2008","European","Manufacture or cultivate illicit drugs","Total sentences",651,
"2010","European","Manufacture or cultivate illicit drugs","Total sentences",856,
"2013","European","Manufacture or cultivate illicit drugs","Total sentences",556,
"2015","European","Manufacture or cultivate illicit drugs","Total sentences",455,
"2016","European","Manufacture or cultivate illicit drugs","Total sentences",426,
"2003","European","Possess and/or use illicit drugs","Imprisonment",9,
"2004","European","Possess and/or use illicit drugs","Imprisonment",17,
"2006","European","Possess and/or use illicit drugs","Imprisonment",8,
"2009","European","Possess and/or use illicit drugs","Imprisonment",13,
"2011","European","Possess and/or use illicit drugs","Imprisonment",14,
"2012","European","Possess and/or use illicit drugs","Imprisonment",12,
"2014","European","Possess and/or use illicit drugs","Imprisonment",11,
"2004","European","Possess and/or use illicit drugs","Total sentences",751,
"2006","European","Possess and/or use illicit drugs","Total sentences",626,
"2007","European","Possess and/or use illicit drugs","Total sentences",680,
"2009","European","Possess and/or use illicit drugs","Total sentences",825,
"2012","European","Possess and/or use illicit drugs","Total sentences",489,
"2014","European","Possess and/or use illicit drugs","Total sentences",349,
"2015","European","Possess and/or use illicit drugs","Total sentences",271,
"2002","European","Other illicit drug offences","Imprisonment",12,
"2003","European","Other illicit drug offences","Imprisonment",19,
"2005","European","Other illicit drug offences","Imprisonment",18,
"2008","European","Other illicit drug offences","Imprisonment",10,
"2010","European","Other illicit drug offences","Imprisonment",25,
"2011","European","Other illicit drug offences","Imprisonment",15,
"2013","European","Other illicit drug offences","Imprisonment",19,
"2016","European","Other illicit drug offences","Imprisonment",22,
"2003","European","Other illicit drug offences","Total sentences",548,
"2005","European","Other illicit drug offences","Total sentences",407,
"2006","European","Other illicit drug offences","Total sentences",456,
"2008","European","Other illicit drug offences","Total sentences",510,
"2011","European","Other illicit drug offences","Total sentences",433,
"2013","European","Other illicit drug offences","Total sentences",287,
"2014","European","Other illicit drug offences","Total sentences",227,
"2016","European","Other illicit drug offences","Total sentences",290,
"2002","European","Property damage","Imprisonment",74,
"2004","European","Property damage","Imprisonment",79,
"2007","European","Property damage","Imprisonment",70,
"2009","European","Property damage","Imprisonment",80,
"2010","European","Property damage","Imprisonment",74,
"2012","European","Property damage","Imprisonment",63,
"2015","European","Property damage","Imprisonment",63,
"2002","European","Property damage","Total sentences",1179,
"2004","European","Property damage","Total sentences",1167,
"2005","European","Property damage","Total sentences",1177,
"2007","European","Property damage","Total sentences",1372,
"2010","European","Property damage","Total sentences",1400,
"2012","European","Property damage","Total sentences",1138,
"2013","European","Property damage","Total sentences",1004,
"2015","European","Property damage","Total sentences",837,
"2009","European","Environmental pollution","Imprisonment",1,
"2003","European","Environmental pollution","Total sentences",24,
"2004","European","Environmental pollution","Total sentences",22,
"2006","European","Environmental pollution","Total sentences",32,
"2009","European","Environmental pollution","Total sentences",21,
"2011","European","Environmental pollution","Total sentences",17,
"2012","European","Environmental pollution","Total sentences",9,
"2014","European","Environmental pollution","Total sentences",2,
"2004","European","Driving licence offences","Imprisonment",169,
"2006","European","Driving licence offences","Imprisonment",197,
"2007","European","Driving licence offences","Imprisonment",182,
"2009","European","Driving licence offences","Imprisonment",142,
"2012","European","Driving licence offences","Imprisonment",98,
"2014","European","Driving licence offences","Imprisonment",110,
"2015","European","Driving licence offences","Imprisonment",103,
"2002","European","Driving licence offences","Total sentences",2201,
"2004","European","Driving licence offences","Total sentences",2366,
"2007","European","Driving licence offences","Total sentences",2761,
"2009","European","Driving licence offences","Total sentences",2760,
"2010","European","Driving licence offences","Total sentences",2749,
"2012","European","Driving licence offences","Total sentences",3057,
"2015","European","Driving licence offences","Total sentences",3042,
"2000","European","Vehicle registration and roadworthiness offences","Total sentences",198,
"2001","European","Vehicle registration and roadworthiness offences","Total sentences",163,
"2003","European","Vehicle registration and roadworthiness offences","Total sentences",96,
"2006","European","Vehicle registration and roadworthiness offences","Total sentences",106,
"2008","European","Vehicle registration and roadworthiness offences","Total sentences",98,
"2009","European","Vehicle registration and roadworthiness offences","Total sentences",93,
"2011","European","Vehicle registration and roadworthiness offences","Total sentences",79,
"2014","European","Vehicle registration and roadworthiness offences","Total sentences",1,
"2016","European","Vehicle registration and roadworthiness offences","Total sentences",3,
"2001","European","Exceeding the prescribed content of alcohol or other substance limit","Imprisonment",375,
"2003","European","Exceeding the prescribed content of alcohol or other substance limit","Imprisonment",395,
"2004","European","Exceeding the prescribed content of alcohol or other substance limit","Imprisonment",502,
"2006","European","Exceeding the prescribed content of alcohol or other substance limit","Imprisonment",485,
"2009","European","Exceeding the prescribed content of alcohol or other substance limit","Imprisonment",363,
"2011","European","Exceeding the prescribed content of alcohol or other substance limit","Imprisonment",289,
"2012","European","Exceeding the prescribed content of alcohol or other substance limit","Imprisonment",247,
"2014","European","Exceeding the prescribed content of alcohol or other substance limit","Imprisonment",204,
"2001","European","Exceeding the prescribed content of alcohol or other substance limit","Total sentences",6749,
"2004","European","Exceeding the prescribed content of alcohol or other substance limit","Total sentences",8326,
"2006","European","Exceeding the prescribed content of alcohol or other substance limit","Total sentences",8549,
"2007","European","Exceeding the prescribed content of alcohol or other substance limit","Total sentences",9805,
"2012","European","Exceeding the prescribed content of alcohol or other substance limit","Total sentences",11131,
"2014","European","Exceeding the prescribed content of alcohol or other substance limit","Total sentences",7998,
"2003","European","Exceed legal speed limit","Total sentences",238,
"2005","European","Exceed legal speed limit","Total sentences",205,
"2006","European","Exceed legal speed limit","Total sentences",266,
"2008","European","Exceed legal speed limit","Total sentences",260,
"2011","European","Exceed legal speed limit","Total sentences",212,
"2013","European","Exceed legal speed limit","Total sentences",179,
"2016","European","Exceed legal speed limit","Total sentences",162,
"1980","European","Parking offences","Total sentences",8,
"1986","European","Parking offences","Total sentences",1,
"1988","European","Parking offences","Total sentences",5,
"2011","European","Regulatory driving offences, nec","Imprisonment",1,
"2014","European","Regulatory driving offences, nec","Imprisonment",1,
"2016","European","Regulatory driving offences, nec","Imprisonment",2,
"2001","European","Regulatory driving offences, nec","Total sentences",445,
"2003","European","Regulatory driving offences, nec","Total sentences",501,
"2004","European","Regulatory driving offences, nec","Total sentences",531,
"2006","European","Regulatory driving offences, nec","Total sentences",630,
"2011","European","Regulatory driving offences, nec","Total sentences",254,
"2014","European","Regulatory driving offences, nec","Total sentences",158,
"2016","European","Regulatory driving offences, nec","Total sentences",189,
"1987","European","Pedestrian offences","Total sentences",1,
"1994","European","Pedestrian offences","Total sentences",3,
"1997","European","Pedestrian offences","Total sentences",11,
"2000","European","Pedestrian offences","Total sentences",6,
"2002","European","Pedestrian offences","Total sentences",3,
"2003","European","Pedestrian offences","Total sentences",9,
"2005","European","Pedestrian offences","Total sentences",17,
"2008","European","Pedestrian offences","Total sentences",2,
"2013","European","Pedestrian offences","Total sentences",2,
"2015","European","Pedestrian offences","Total sentences",1,
"2016","European","Pedestrian offences","Total sentences",1,
"2001","European","Offences against justice procedures, government security and government operations not further defined","Total sentences",1,
"2002","European","Offences against justice procedures, government security and government operations not further defined","Total sentences",2,
"2004","European","Offences against justice procedures, government security and government operations not further defined","Total sentences",2,
"1987","European","Breach of custodial order offences","Imprisonment",14,
"2011","European","Breach of custodial order offences","Imprisonment",31,
"2013","European","Breach of custodial order offences","Imprisonment",32,
"2014","European","Breach of custodial order offences","Imprisonment",36,
"2016","European","Breach of custodial order offences","Imprisonment",44,
"1984","European","Breach of custodial order offences","Total sentences",48,
"1985","European","Breach of custodial order offences","Total sentences",64,
"1987","European","Breach of custodial order offences","Total sentences",41,
"1992","European","Breach of custodial order offences","Total sentences",41,
"1995","European","Breach of custodial order offences","Total sentences",44,
"1998","European","Breach of custodial order offences","Total sentences",39,
"2000","European","Breach of custodial order offences","Total sentences",28,
"2001","European","Breach of custodial order offences","Total sentences",34,
"2003","European","Breach of custodial order offences","Total sentences",34,
"2006","European","Breach of custodial order offences","Total sentences",30,
"2011","European","Breach of custodial order offences","Total sentences",94,
"2013","European","Breach of custodial order offences","Total sentences",85,
"2014","European","Breach of custodial order offences","Total sentences",101,
"2016","European","Breach of custodial order offences","Total sentences",120,
"2012","European","Breach of community-based orders","Imprisonment",244,
"2013","European","Breach of community-based orders","Imprisonment",210,
"2015","European","Breach of community-based orders","Imprisonment",210,
"2002","European","Breach of community-based orders","Total sentences",808,
"2005","European","Breach of community-based orders","Total sentences",1372,
"2007","European","Breach of community-based orders","Total sentences",1695,
"2012","European","Breach of community-based orders","Total sentences",2167,
"2013","European","Breach of community-based orders","Total sentences",1634,
"2015","European","Breach of community-based orders","Total sentences",1521,
"2011","European","Breach of violence and non-violence orders","Imprisonment",77,
"2012","European","Breach of violence and non-violence orders","Imprisonment",85,
"2014","European","Breach of violence and non-violence orders","Imprisonment",96,
"2001","European","Breach of violence and non-violence orders","Total sentences",343,
"2004","European","Breach of violence and non-violence orders","Total sentences",295,
"2006","European","Breach of violence and non-violence orders","Total sentences",275,
"2011","European","Breach of violence and non-violence orders","Total sentences",435,
"2012","European","Breach of violence and non-violence orders","Total sentences",428,
"2014","European","Breach of violence and non-violence orders","Total sentences",493,
"2011","European","Offences against government operations","Imprisonment",1,
"2013","European","Offences against government operations","Imprisonment",2,
"2016","European","Offences against government operations","Imprisonment",1,
"1984","European","Offences against government operations","Total sentences",445,
"1987","European","Offences against government operations","Total sentences",228,
"1992","European","Offences against government operations","Total sentences",210,
"1995","European","Offences against government operations","Total sentences",417,
"1997","European","Offences against government operations","Total sentences",114,
"1998","European","Offences against government operations","Total sentences",91,
"2000","European","Offences against government operations","Total sentences",54,
"2003","European","Offences against government operations","Total sentences",80,
"2005","European","Offences against government operations","Total sentences",14,
"2013","European","Offences against government operations","Total sentences",9,
"2016","European","Offences against government operations","Total sentences",5,
"2007","European","Offences against government security","Total sentences",3,
"2012","European","Offences against government security","Total sentences",1,
"2015","European","Offences against government security","Total sentences",2,
"1985","European","Offences against justice procedures","Imprisonment",28,
"1987","European","Offences against justice procedures","Imprisonment",35,
"2014","European","Offences against justice procedures","Imprisonment",30,
"2016","European","Offences against justice procedures","Imprisonment",32,
"1985","European","Offences against justice procedures","Total sentences",916,
"1987","European","Offences against justice procedures","Total sentences",1054,
"1993","European","Offences against justice procedures","Total sentences",885,
"1995","European","Offences against justice procedures","Total sentences",983,
"1996","European","Offences against justice procedures","Total sentences",935,
"1998","European","Offences against justice procedures","Total sentences",668,
"2001","European","Offences against justice procedures","Total sentences",1285,
"2003","European","Offences against justice procedures","Total sentences",685,
"2006","European","Offences against justice procedures","Total sentences",665,
"2014","European","Offences against justice procedures","Total sentences",459,
"2016","European","Offences against justice procedures","Total sentences",380,
"1986","European","Manslaughter","Imprisonment",5,
"2013","European","Manslaughter","Imprisonment",7,
"2015","European","Manslaughter","Imprisonment",3,
"1984","European","Manslaughter","Total sentences",11,
"1986","European","Manslaughter","Total sentences",7,
"1987","European","Manslaughter","Total sentences",14,
"1992","European","Manslaughter","Total sentences",10,
"1994","European","Manslaughter","Total sentences",10,
"1995","European","Manslaughter","Total sentences",11,
"1997","European","Manslaughter","Total sentences",8,
"2000","European","Manslaughter","Total sentences",5,
"2002","European","Manslaughter","Total sentences",12,
"2005","European","Manslaughter","Total sentences",7,
"2007","European","Manslaughter","Total sentences",7,
"2013","European","Manslaughter","Total sentences",7,
"2015","European","Manslaughter","Total sentences",4,
"2016","European","Manslaughter","Total sentences",12,
"2012","European","Driving causing death","Imprisonment",3,
"2014","European","Driving causing death","Imprisonment",10,
"2004","European","Driving causing death","Total sentences",10,
"2006","European","Driving causing death","Total sentences",9,
"2007","European","Driving causing death","Total sentences",9,
"2009","European","Driving causing death","Total sentences",4,
"2012","European","Driving causing death","Total sentences",10,
"2014","European","Driving causing death","Total sentences",34,
"2015","European","Driving causing death","Total sentences",28,
"2003","European","Aggravated sexual assault","Imprisonment",202,
"2005","European","Aggravated sexual assault","Imprisonment",196,
"2006","European","Aggravated sexual assault","Imprisonment",180,
"2008","European","Aggravated sexual assault","Imprisonment",160,
"2011","European","Aggravated sexual assault","Imprisonment",181,
